City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Waingapu,ID,-9.6567,120.2641,77.45,74,61,12.35,broken clouds
1,Hithadhoo,MV,-0.6,73.0833,82.8,74,100,10.78,overcast clouds
2,Barrow,US,71.2906,-156.7887,28.42,86,100,4.61,mist
3,The Valley,AI,18.217,-63.0578,82.26,78,21,19.01,few clouds
4,Yellowknife,CA,62.456,-114.3525,51.39,73,99,10.96,overcast clouds
5,Grand Gaube,MU,-20.0064,57.6608,71.38,88,91,10.0,moderate rain
6,Ushuaia,AR,-54.8,-68.3,41.77,96,100,4.9,overcast clouds
7,Bethel,US,41.3712,-73.414,62.96,91,0,0.0,clear sky
8,Hobyo,SO,5.3505,48.5268,84.63,65,99,26.73,overcast clouds
9,Dingle,PH,10.9995,122.6711,80.06,81,82,4.27,broken clouds
10,Lodwar,KE,3.1191,35.5973,93.43,30,5,11.18,clear sky
11,Rikitea,PF,-23.1203,-134.9692,73.02,63,46,8.81,scattered clouds
12,Naifaru,MV,5.4444,73.3657,83.59,76,94,14.81,light rain
13,Mataura,NZ,-46.1927,168.8643,36.48,95,21,2.89,few clouds
14,Butaritari,KI,3.0707,172.7902,81.84,75,20,11.45,few clouds
15,Emerald,AU,-23.5333,148.1667,48.34,73,86,8.41,overcast clouds
16,Victoria,HK,22.2855,114.1577,85.32,86,100,11.01,overcast clouds
17,Makubetsu,JP,45.3714,141.8211,45.99,96,92,15.75,overcast clouds
18,Tezu,IN,27.9167,96.1667,74.07,95,100,5.01,overcast clouds
19,Ust-Tsilma,RU,65.441,52.1498,62.56,26,0,8.32,clear sky
20,Sijunjung,ID,-0.6876,100.9537,75.27,92,96,1.12,overcast clouds
21,Bull Savanna,JM,17.8868,-77.5902,73.87,83,46,6.8,scattered clouds
22,Bandarbeyla,SO,9.4942,50.8122,94.48,42,100,21.03,overcast clouds
23,Atuona,PF,-9.8,-139.0333,77.47,66,36,13.91,scattered clouds
24,Salinas,US,36.6777,-121.6555,66.99,84,0,5.75,clear sky
25,Olinda,BR,-8.0089,-34.8553,76.73,88,40,2.3,scattered clouds
26,Dikson,RU,73.5069,80.5464,31.66,96,100,16.78,overcast clouds
27,Khatanga,RU,71.9667,102.5,68.77,30,0,8.79,clear sky
28,Thompson,CA,55.7435,-97.8558,52.25,67,56,6.6,broken clouds
29,Port Macquarie,AU,-31.4333,152.9167,47.89,65,60,7.29,broken clouds
30,Naryan-Mar,RU,67.6713,53.087,57.96,34,0,9.24,clear sky
31,Ostrovnoy,RU,68.0531,39.5131,63.3,59,100,22.24,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,8.05,scattered clouds
33,Bluff,NZ,-46.6,168.3333,36.81,79,35,7.49,scattered clouds
34,Cherskiy,RU,68.75,161.3,60.17,32,32,17.56,scattered clouds
35,Juba,SS,4.8517,31.5825,94.19,36,13,2.66,few clouds
36,Hamilton,US,39.1834,-84.5333,67.05,96,75,6.91,mist
37,Hilo,US,19.7297,-155.09,75.27,95,100,1.99,overcast clouds
38,Vaini,TO,-21.2,-175.2,73.56,100,40,4.61,scattered clouds
39,Alice Springs,AU,-23.7,133.8833,47.75,66,0,6.91,clear sky
40,Sambava,MG,-14.2667,50.1667,77.85,69,95,19.04,overcast clouds
41,Karratha,AU,-20.7377,116.8463,76.08,59,84,7.31,broken clouds
42,Makali,SL,8.6333,-11.6667,82.81,69,93,3.36,light rain
43,Esperance,AU,-33.8667,121.9,63.32,69,73,12.88,light rain
44,Albany,US,42.6001,-73.9662,62.31,88,86,2.64,overcast clouds
45,Avarua,CK,-21.2078,-159.775,76.59,70,100,16.98,overcast clouds
46,Ballina,AU,-28.8667,153.5667,55.31,63,60,5.64,broken clouds
47,Mangai,CD,-4.05,19.5333,93.96,26,40,4.97,scattered clouds
48,Cape Town,ZA,-33.9258,18.4232,72.1,32,0,21.85,clear sky
49,Keflavik,IS,64.0049,-22.5624,51.71,87,75,9.22,broken clouds
50,Jamestown,US,42.097,-79.2353,63.99,86,80,1.99,broken clouds
