City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Waingapu,ID,77.45,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
1,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
3,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
5,Grand Gaube,MU,71.38,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
8,Hobyo,SO,84.63,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
9,Dingle,PH,80.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
11,Rikitea,PF,73.02,scattered clouds,-23.1203,-134.9692,People ThankYou
12,Naifaru,MV,83.59,light rain,5.4444,73.3657,Naifaru Residence Guest House
14,Butaritari,KI,81.84,few clouds,3.0707,172.7902,Isles Sunset Lodge
16,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
18,Tezu,IN,74.07,overcast clouds,27.9167,96.1667,Circuit House
20,Sijunjung,ID,75.27,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
21,Bull Savanna,JM,73.87,scattered clouds,17.8868,-77.5902,Big Red's
23,Atuona,PF,77.47,scattered clouds,-9.8,-139.0333,Villa Enata
25,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
37,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,Sambava,MG,77.85,overcast clouds,-14.2667,50.1667,Melrose
41,Karratha,AU,76.08,broken clouds,-20.7377,116.8463,ibis Styles Karratha
45,Avarua,CK,76.59,overcast clouds,-21.2078,-159.775,Paradise Inn
48,Cape Town,ZA,72.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
51,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
54,Azua,DO,76.03,overcast clouds,18.4532,-70.7349,Cabañas Sexy Home
56,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Hermanus,ZA,77.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
58,Semporna,MY,81.36,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
60,Kavieng,PG,82.45,light rain,-2.5744,150.7967,Nusa Island Retreat
61,Puerto Baquerizo Moreno,EC,70.47,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
62,Bengkulu,ID,79.92,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
63,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
66,Altenholz,DE,71.01,few clouds,54.4,10.1333,Kieler Förde
73,Port Elizabeth,ZA,79.32,clear sky,-33.918,25.5701,39 On Nile Guest House
74,Ust-Ilimsk,RU,78.04,overcast clouds,58.0006,102.6619,AleNat Center
