City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lumeje,6,AO,2022-06-11 14:29:27,24,-11.55,20.7833,79.38,6.35
1,Preobrazheniye,9,RU,2022-06-11 14:29:27,93,42.9019,133.9064,51.48,1.61
2,Mathbaria,92,BD,2022-06-11 14:29:28,85,22.2876,89.9593,83.91,11.12
3,Carnarvon,2,AU,2022-06-11 14:29:28,69,-24.8667,113.6333,70.9,9.64
4,Kupang,100,ID,2022-06-11 14:29:28,72,-10.1667,123.5833,78.01,14.52
5,Atbasar,87,KZ,2022-06-11 14:29:29,45,51.8,68.3333,70.36,10.18
6,San Patricio,5,US,2022-06-11 14:27:14,64,28.017,-97.5169,87.84,13.06
7,Pisco,100,PE,2022-06-11 14:29:29,100,-13.7,-76.2167,60.03,2.3
8,Ribeira Grande,75,PT,2022-06-11 14:29:29,82,38.5167,-28.7,66.6,6.91
9,Kamenka,85,RU,2022-06-11 14:29:30,67,51.3223,42.7678,72.3,7.81
10,Busselton,13,AU,2022-06-11 14:29:30,79,-33.65,115.3333,61.68,8.75
11,Albany,100,US,2022-06-11 14:26:16,65,42.6001,-73.9662,69.42,0.29
12,Quebradillas,86,PR,2022-06-11 14:29:31,79,18.4738,-66.9385,88.23,10.0
13,Vaini,75,TO,2022-06-11 14:26:13,88,-21.2,-175.2,75.36,5.75
14,Punta Arenas,100,CL,2022-06-11 14:26:43,93,-53.15,-70.9167,44.71,5.75
15,Cockburn Town,40,TC,2022-06-11 14:29:31,70,21.4612,-71.1419,84.16,16.11
16,Thompson,20,CA,2022-06-11 14:29:32,54,55.7435,-97.8558,57.36,5.75
17,Yellowknife,75,CA,2022-06-11 14:29:32,77,62.456,-114.3525,59.52,14.97
18,Imbituba,26,BR,2022-06-11 14:29:32,59,-28.24,-48.6703,57.09,8.99
19,Ushuaia,0,AR,2022-06-11 14:29:33,93,-54.8,-68.3,38.86,4.61
20,Mataura,59,NZ,2022-06-11 14:29:33,95,-46.1927,168.8643,33.48,5.08
21,Beyneu,1,KZ,2022-06-11 14:29:33,21,45.3167,55.2,85.46,5.7
22,Bredasdorp,100,ZA,2022-06-11 14:25:29,25,-34.5322,20.0403,76.96,3.58
23,Ca Mau,23,VN,2022-06-11 14:29:34,86,9.1769,105.15,80.19,4.5
24,Udachnyy,100,RU,2022-06-11 14:29:35,64,66.4167,112.4,52.83,12.26
25,Mitsamiouli,42,KM,2022-06-11 14:29:35,72,-11.3847,43.2844,79.7,15.17
26,Bluff,87,NZ,2022-06-11 14:29:35,82,-46.6,168.3333,33.8,11.61
27,Saint-Philippe,81,RE,2022-06-11 14:29:36,76,-21.3585,55.7679,71.19,12.19
28,Mar Del Plata,0,AR,2022-06-11 14:29:36,73,-38.0023,-57.5575,52.09,11.5
29,Havre-Saint-Pierre,20,CA,2022-06-11 14:29:37,88,50.2334,-63.5986,55.76,16.11
30,Homer,20,US,2022-06-11 14:26:35,86,59.6425,-151.5483,51.8,1.99
31,Wahpeton,0,US,2022-06-11 14:29:37,73,46.2652,-96.6059,72.32,12.66
32,Atuona,57,PF,2022-06-11 14:26:48,68,-9.8,-139.0333,77.22,12.59
33,Nikolskoye,33,RU,2022-06-11 14:29:38,43,59.7035,30.7861,75.09,5.75
34,Kungurtug,18,RU,2022-06-11 14:29:38,40,50.5994,97.5228,57.02,3.02
35,Voyvozh,100,RU,2022-06-11 14:29:39,63,62.892,54.9635,49.39,15.59
36,Pandan Niog,16,PH,2022-06-11 14:29:39,71,6.2282,120.5631,83.01,4.81
37,Manoel Urbano,100,BR,2022-06-11 14:29:39,80,-8.8389,-69.2597,68.77,5.5
38,Tautira,47,PF,2022-06-11 14:29:40,78,-17.7333,-149.15,78.19,18.63
39,Cape Town,0,ZA,2022-06-11 14:26:00,40,-33.9258,18.4232,77.11,11.5
40,Imeni Poliny Osipenko,83,RU,2022-06-11 14:29:40,72,52.4201,136.4853,53.38,4.74
